timestamp,image_key,orig_size,new_size,proc_ms
2025-11-24T15:57:59.319302,dog_0000.jpg,8562,46716,238.78
2025-11-24T15:57:59.397372,dog_0001.jpg,9981,45806,71.93
2025-11-24T15:57:59.525462,dog_0002.jpg,54954,68124,121.05
2025-11-24T15:57:59.626540,dog_0003.jpg,47965,51185,99.29
2025-11-24T15:57:59.745106,dog_0004.jpg,27897,44311,106.00
2025-11-24T15:57:59.867771,dog_0005.jpg,20266,59319,112.57
2025-11-24T15:57:59.966621,dog_0006.jpg,65153,68433,84.42
2025-11-24T15:58:00.070746,dog_0007.jpg,45674,55314,100.26
2025-11-24T15:58:00.162462,dog_0008.jpg,28623,40236,85.01
2025-11-24T15:58:00.241757,dog_0009.jpg,58714,57759,78.13
2025-11-24T15:58:00.316569,dog_0010.jpg,7145,32764,66.55
2025-11-24T15:58:00.422743,dog_0011.jpg,29487,43093,96.71
2025-11-24T15:58:00.533454,dog_0012.jpg,14970,56963,107.89
2025-11-24T15:58:00.600117,dog_0013.jpg,20001,50289,63.02
2025-11-24T15:58:00.676190,dog_0014.jpg,25650,51482,59.55
2025-11-24T15:58:00.732238,dog_0015.jpg,39215,47743,51.69
2025-11-24T15:58:00.783190,dog_0016.jpg,41086,52956,52.60
2025-11-24T15:58:00.850378,dog_0017.jpg,44656,48791,55.67
2025-11-24T15:58:00.914520,dog_0018.jpg,23123,35100,53.99
2025-11-24T15:58:00.970099,dog_0019.jpg,17851,60427,51.01
2025-11-24T15:58:01.026364,dog_0020.jpg,41403,53848,50.75
2025-11-24T15:58:01.092349,dog_0021.jpg,47794,52985,72.58
2025-11-24T15:58:01.155786,dog_0022.jpg,92101,92797,46.90
2025-11-24T15:58:01.225634,dog_0023.jpg,65232,48361,65.38
2025-11-24T15:58:01.266580,dog_0024.jpg,3926,35660,46.25
2025-11-24T15:58:01.325399,dog_0025.jpg,34533,63958,53.31
2025-11-24T15:58:01.389567,dog_0026.jpg,39879,49960,52.17
2025-11-24T15:58:01.466579,dog_0027.jpg,12543,28696,71.83
2025-11-24T15:58:01.524832,dog_0028.jpg,16172,44764,52.92
2025-11-24T15:58:01.579547,dog_0029.jpg,36838,54559,50.64
2025-11-24T15:58:01.627508,dog_0030.jpg,28550,41251,46.14
2025-11-24T15:58:01.690789,dog_0031.jpg,71924,53296,60.32
2025-11-24T15:58:01.746471,dog_0032.jpg,6498,29641,42.45
2025-11-24T15:58:01.803949,dog_0033.jpg,26622,47957,55.33
2025-11-24T15:58:01.874333,dog_0034.jpg,4983,32954,60.22
2025-11-24T15:58:01.923617,dog_0035.jpg,44276,46160,57.63
2025-11-24T15:58:01.983186,dog_0036.jpg,25308,43164,43.73
2025-11-24T15:58:02.055598,dog_0037.jpg,21301,53024,66.13
2025-11-24T15:58:02.135972,dog_0038.jpg,44924,66544,69.06
2025-11-24T15:58:02.199916,dog_0039.jpg,51794,55210,53.77
2025-11-24T15:58:02.257386,dog_0040.jpg,46094,66634,51.12
2025-11-24T15:58:02.335199,dog_0041.jpg,38634,37067,66.49
2025-11-24T15:58:02.394963,dog_0042.jpg,33392,60828,61.85
2025-11-24T15:58:02.456279,dog_0043.jpg,14724,32684,49.97
2025-11-24T15:58:02.520969,dog_0044.jpg,50466,76392,58.47
2025-11-24T15:58:02.619179,dog_0045.jpg,51633,52961,91.79
2025-11-24T15:58:02.692510,dog_0046.jpg,39230,57877,69.06
2025-11-24T15:58:02.778974,dog_0047.jpg,16998,43545,80.93
2025-11-24T15:58:02.881504,dog_0048.jpg,35887,54352,94.36
2025-11-24T15:58:02.992728,dog_0049.jpg,45694,61634,105.46
2025-11-24T15:58:03.092941,dog_0050.jpg,27194,44613,95.07
2025-11-24T15:58:03.200040,dog_0051.jpg,33228,77774,100.94
2025-11-24T15:58:03.332303,dog_0052.jpg,65386,72386,124.34
2025-11-24T15:58:03.453255,dog_0053.jpg,41504,56748,112.77
2025-11-24T15:58:03.578311,dog_0054.jpg,2580,27281,116.80
2025-11-24T15:58:03.700146,dog_0055.jpg,49691,42513,115.00
2025-11-24T15:58:03.843764,dog_0056.jpg,42417,50293,135.17
2025-11-24T15:58:03.955140,dog_0057.jpg,56109,58850,101.26
2025-11-24T15:58:04.041930,dog_0058.jpg,18112,50899,79.33
2025-11-24T15:58:04.111846,dog_0059.jpg,36690,48112,67.49
2025-11-24T15:58:04.223625,dog_0060.jpg,22346,39661,105.47
2025-11-24T15:58:04.316555,dog_0061.jpg,27070,48200,89.48
2025-11-24T15:58:04.433353,dog_0062.jpg,29265,63175,115.04
2025-11-24T15:58:04.545441,dog_0063.jpg,55783,54089,97.10
2025-11-24T15:58:04.643722,dog_0064.jpg,4897,31598,87.31
2025-11-24T15:58:04.733300,dog_0065.jpg,62144,69714,89.62
2025-11-24T15:58:04.858411,dog_0066.jpg,46002,60537,113.52
2025-11-24T15:58:05.016863,dog_0067.jpg,32970,71132,148.66
2025-11-24T15:58:05.140962,dog_0068.jpg,50483,51228,115.74
2025-11-24T15:58:05.275023,dog_0069.jpg,47736,42437,129.54
2025-11-24T15:58:05.373939,dog_0070.jpg,35383,39917,89.65
2025-11-24T15:58:05.466769,dog_0071.jpg,24954,34951,84.98
2025-11-24T15:58:05.566929,dog_0072.jpg,12006,46606,101.11
2025-11-24T15:58:05.697520,dog_0073.jpg,83757,74792,106.49
2025-11-24T15:58:05.806089,dog_0074.jpg,21320,36558,102.32
2025-11-24T15:58:05.943618,dog_0075.jpg,71132,54544,123.78
2025-11-24T15:58:06.047695,dog_0076.jpg,12879,37268,96.91
2025-11-24T15:58:06.179609,dog_0077.jpg,61539,66414,118.35
2025-11-24T15:58:06.318393,dog_0078.jpg,3901,32694,98.99
2025-11-24T15:58:06.472180,dog_0079.jpg,31701,54267,122.66
2025-11-24T15:58:06.550282,dog_0080.jpg,67070,78800,79.48
2025-11-24T15:58:06.661723,dog_0081.jpg,51563,62447,100.00
2025-11-24T15:58:06.742321,dog_0082.jpg,21215,32670,74.27
2025-11-24T15:58:06.873111,dog_0083.jpg,20229,43725,120.73
2025-11-24T15:58:06.971368,dog_0084.jpg,63172,80026,90.74
2025-11-24T15:58:07.067358,dog_0085.jpg,34319,46225,92.04
2025-11-24T15:58:07.184497,dog_0086.jpg,46680,76425,103.91
2025-11-24T15:58:07.320990,dog_0087.jpg,32573,52412,133.45
2025-11-24T15:58:07.511618,dog_0088.jpg,29073,61564,182.04
2025-11-24T15:58:07.633984,dog_0089.jpg,83824,70057,119.69
2025-11-24T15:58:07.749976,dog_0090.jpg,58816,78670,109.26
2025-11-24T15:58:07.863137,dog_0091.jpg,44528,54652,104.18
2025-11-24T15:58:07.967356,dog_0092.jpg,16842,39682,99.96
2025-11-24T15:58:08.089357,dog_0093.jpg,27659,42046,112.66
2025-11-24T15:58:08.181459,dog_0094.jpg,36956,52667,83.61
2025-11-24T15:58:08.288293,dog_0095.jpg,33424,47598,98.19
2025-11-24T15:58:08.436377,dog_0096.jpg,36815,36280,138.13
2025-11-24T15:58:08.552108,dog_0097.jpg,18791,55094,103.23
2025-11-24T15:58:08.656445,dog_0098.jpg,11399,30599,93.57
2025-11-24T15:58:08.750507,dog_0099.jpg,37191,43895,94.33
2025-11-24T15:58:08.853189,dog_0100.jpg,43519,65575,90.27
2025-11-24T15:58:08.968445,dog_0101.jpg,12585,36645,104.42
2025-11-24T15:58:09.064499,dog_0102.jpg,29962,29891,87.14
2025-11-24T15:58:09.150380,dog_0103.jpg,27314,41765,79.66
2025-11-24T15:58:09.249986,dog_0104.jpg,40781,50999,93.30
2025-11-24T15:58:09.377645,dog_0105.jpg,39510,58418,121.95
2025-11-24T15:58:09.501152,dog_0106.jpg,62505,65992,104.34
2025-11-24T15:58:09.612997,dog_0107.jpg,15929,40838,95.04
2025-11-24T15:58:09.767075,dog_0108.jpg,27221,42979,146.34
2025-11-24T15:58:09.867509,dog_0109.jpg,44042,78874,95.05
2025-11-24T15:58:10.022368,dog_0110.jpg,34345,51653,127.96
2025-11-24T15:58:10.117391,dog_0111.jpg,28703,42712,87.78
2025-11-24T15:58:10.208218,dog_0112.jpg,41804,39231,86.73
2025-11-24T15:58:10.333938,dog_0113.jpg,65084,89435,108.35
2025-11-24T15:58:10.463481,dog_0114.jpg,43059,58644,123.25
2025-11-24T15:58:10.563192,dog_0115.jpg,18419,38712,91.60
2025-11-24T15:58:10.703004,dog_0116.jpg,73960,101288,135.76
2025-11-24T15:58:10.813349,dog_0117.jpg,16255,44092,100.53
2025-11-24T15:58:10.907421,dog_0118.jpg,8164,35495,86.53
2025-11-24T15:58:11.000764,dog_0119.jpg,21702,60813,88.24
2025-11-24T15:58:11.096615,dog_0120.jpg,37706,40094,88.04
2025-11-24T15:58:11.200995,dog_0121.jpg,67689,74734,98.40
2025-11-24T15:58:11.308276,dog_0122.jpg,50009,70044,105.83
2025-11-24T15:58:11.444025,dog_0123.jpg,32167,51091,123.41
2025-11-24T15:58:11.578040,dog_0124.jpg,72390,59798,126.98
2025-11-24T15:58:11.689359,dog_0125.jpg,45334,41072,106.26
2025-11-24T15:58:11.800801,dog_0126.jpg,47638,45648,105.56
2025-11-24T15:58:11.900736,dog_0127.jpg,21730,38095,94.76
2025-11-24T15:58:12.033803,dog_0128.jpg,48501,62202,121.95
2025-11-24T15:58:12.164883,dog_0129.jpg,78623,87762,126.17
