timestamp,image_key,orig_size,new_size,proc_ms
2025-11-24T15:59:10.869374,input/dog_0229.jpg,32166,32166,1.28
2025-11-24T15:59:11.682839,input/dog_0235.jpg,25889,25889,1.00
2025-11-24T15:59:11.719469,input/dog_0230.jpg,65911,65911,10.73
2025-11-24T15:59:12.521661,input/dog_0237.jpg,80604,80604,3.06
2025-11-24T15:59:13.456805,input/dog_0242.jpg,46155,46155,1.74
2025-11-24T15:59:14.206523,input/dog_0248.jpg,36000,36000,1.37
2025-11-24T15:59:14.268238,input/dog_0246.jpg,52108,52108,2.85
2025-11-24T15:59:15.166466,input/dog_0252.jpg,18291,18291,0.73
2025-11-24T15:59:15.986741,input/dog_0254.jpg,31338,31338,1.23
2025-11-24T15:59:16.789286,input/dog_0257.jpg,23683,23683,0.90
2025-11-24T15:59:17.706245,input/dog_0261.jpg,43556,43556,1.69
2025-11-24T15:59:18.480671,input/dog_0268.jpg,38410,38410,1.46
2025-11-24T15:59:18.537329,input/dog_0267.jpg,82513,82513,31.20
2025-11-24T15:59:19.346515,input/dog_0273.jpg,25494,25494,0.96
2025-11-24T15:59:19.389411,input/dog_0270.jpg,30636,30636,1.17
2025-11-24T15:59:20.165150,input/dog_0276.jpg,21582,21582,0.85
2025-11-24T15:59:20.217228,input/dog_0278.jpg,57636,57636,2.19
2025-11-24T15:59:21.110732,input/dog_0286.jpg,30464,30464,1.32
2025-11-24T15:59:21.983162,input/dog_0291.jpg,55533,55533,2.14
2025-11-24T15:59:22.813399,input/dog_0295.jpg,41126,41126,1.55
2025-11-24T15:59:23.585987,input/dog_0302.jpg,37987,37987,1.48
2025-11-24T15:59:24.396856,input/dog_0306.jpg,56384,56384,2.46
2025-11-24T15:59:25.284757,input/dog_0310.jpg,38213,38213,1.48
2025-11-24T15:59:26.177567,input/dog_0319.jpg,22066,22066,0.83
2025-11-24T15:59:26.228952,input/dog_0318.jpg,67581,67581,3.18
2025-11-24T15:59:27.012842,input/dog_0326.jpg,65174,65174,2.54
2025-11-24T15:59:27.638679,input/dog_0327.jpg,70585,70585,2.71
2025-11-24T15:59:27.846540,input/dog_0330.jpg,16284,16284,0.67
2025-11-24T15:59:28.766544,input/dog_0332.jpg,25757,25757,0.99
2025-11-24T15:59:28.829524,input/dog_0331.jpg,53866,53866,18.14
2025-11-24T15:59:29.476986,input/dog_0337.jpg,20224,20224,8.81
2025-11-24T15:59:29.583049,input/dog_0336.jpg,81889,81889,3.20
2025-11-24T15:59:30.546798,input/dog_0339.jpg,36228,36228,1.45
2025-11-24T15:59:31.282937,input/dog_0344.jpg,14098,14098,0.53
2025-11-24T15:59:31.354355,input/dog_0349.jpg,60202,60202,2.35
2025-11-24T15:59:32.121142,input/dog_0354.jpg,8474,8474,0.32
2025-11-24T15:59:32.149787,input/dog_0353.jpg,41655,41655,13.66
2025-11-24T15:59:32.326471,input/dog_0355.jpg,18729,18729,0.72
2025-11-24T15:59:33.122956,input/dog_0356.jpg,17451,17451,0.70
2025-11-24T15:59:33.209181,input/dog_0360.jpg,90234,90234,60.05
2025-11-24T15:59:33.899435,input/dog_0366.jpg,15246,15246,0.66
2025-11-24T15:59:33.959082,input/dog_0362.jpg,73644,73644,2.83
2025-11-24T15:59:34.759897,input/dog_0371.jpg,70980,70980,2.73
2025-11-24T15:59:36.523223,input/dog_0380.jpg,27691,27691,1.09
2025-11-24T15:59:36.568380,input/dog_0377.jpg,30041,30041,13.21
2025-11-24T15:59:37.358551,input/dog_0387.jpg,68420,68420,38.66
2025-11-24T15:59:37.432850,input/dog_0385.jpg,98442,98442,39.81
2025-11-24T15:59:38.366973,input/dog_0391.jpg,43300,43300,1.77
2025-11-24T15:59:38.525692,input/dog_0392.jpg,22512,22512,0.90
2025-11-24T15:59:38.922989,input/dog_0393.jpg,30188,30188,1.31
2025-11-24T15:59:38.962750,input/dog_0395.jpg,39624,39624,1.55
2025-11-24T15:59:39.892965,input/dog_0399.jpg,25334,25334,0.97
2025-11-24T15:59:40.006581,input/dog_0400.jpg,40642,40642,1.56
2025-11-24T15:59:40.638424,input/dog_0404.jpg,30821,30821,1.17
2025-11-24T15:59:42.434021,input/dog_0414.jpg,29623,29623,37.25
2025-11-24T15:59:42.482961,input/dog_0413.jpg,44023,44023,9.75
2025-11-24T15:59:43.236964,input/dog_0417.jpg,12418,12418,0.47
2025-11-24T15:59:44.156981,input/dog_0420.jpg,52357,52357,18.15
2025-11-24T15:59:44.926216,input/dog_0427.jpg,9157,9157,0.35
2025-11-24T15:59:44.947870,input/dog_0423.jpg,49310,49310,1.95
2025-11-24T15:59:45.006914,input/dog_0426.jpg,84678,84678,39.39
2025-11-24T15:59:45.521093,input/dog_0429.jpg,20577,20577,0.79
2025-11-24T15:59:45.752454,input/dog_0433.jpg,9464,9464,0.40
2025-11-24T15:59:46.788600,input/dog_0436.jpg,71558,71558,18.82
2025-11-24T15:59:47.538524,input/dog_0441.jpg,4794,4794,0.18
2025-11-24T15:59:47.590517,input/dog_0437.jpg,52635,52635,2.01
2025-11-24T15:59:48.356898,input/dog_0445.jpg,57822,57822,18.26
2025-11-24T15:59:50.046738,input/dog_0452.jpg,27742,27742,25.14
2025-11-24T15:59:50.900951,input/dog_0458.jpg,47115,47115,1.82
